iter	Logloss
0	0.6802676944
1	0.6631600354
2	0.6565681915
3	0.6403047777
4	0.6246198765
5	0.6157556722
6	0.6009400361
7	0.5924824281
8	0.5784604044
9	0.564925934
10	0.5572919759
11	0.5498120873
12	0.5405469226
13	0.5283065792
14	0.5195511013
15	0.5128166682
16	0.508814021
17	0.4976536185
18	0.4886052369
19	0.4807971585
20	0.4731848606
21	0.4631903185
22	0.4559860545
23	0.448967445
24	0.4436246226
25	0.4345668
26	0.4295007075
27	0.4231091543
28	0.4182600072
29	0.4099959368
30	0.4019879233
31	0.3942259882
32	0.3886034673
33	0.3812425177
34	0.3741028872
35	0.367176119
36	0.3633264195
37	0.3567182794
38	0.3519061617
39	0.3456255592
40	0.3410541948
41	0.3350805889
42	0.3292764642
43	0.3250497751
44	0.3195231605
45	0.3155210498
46	0.3102544582
47	0.3051319431
48	0.3001483639
49	0.2952987967
50	0.2905785246
51	0.2859830275
52	0.2815079733
53	0.2782540657
54	0.2739766871
55	0.269808929
56	0.2657470786
57	0.2617875737
58	0.2579269961
59	0.2541620648
60	0.2504896297
61	0.2469066659
62	0.2453934355
63	0.2419326584
64	0.2385545353
65	0.2352564264
66	0.2320357942
67	0.2288901988
68	0.2258172939
69	0.2228148223
70	0.2198806123
71	0.2170125738
72	0.2142086949
73	0.2114670384
74	0.2087857387
75	0.2061629986
76	0.2035970867
77	0.2010863342
78	0.1986291325
79	0.1962239309
80	0.1938692336
81	0.1915635979
82	0.1893056321
83	0.1870939928
84	0.1849273837
85	0.182804553
86	0.1807242921
87	0.1786854337
88	0.1766868499
89	0.1747274511
90	0.1728061842
91	0.1709220311
92	0.1690740076
93	0.1672611617
94	0.1654825729
95	0.1637373503
96	0.1620246322
97	0.1603435844
98	0.1586933993
99	0.1570732952
