iter	Passed	Remaining
0	149	14795
1	153	7505
2	158	5135
3	162	3891
4	168	3204
5	176	2771
6	183	2435
7	194	2236
8	200	2028
9	206	1856
10	217	1758
11	229	1681
12	237	1592
13	243	1495
14	252	1432
15	262	1375
16	267	1306
17	273	1243
18	282	1203
19	291	1165
20	300	1129
21	306	1087
22	315	1056
23	324	1027
24	333	1000
25	339	966
26	353	954
27	363	935
28	374	917
29	382	892
30	389	866
31	397	844
32	408	829
33	416	807
34	423	785
35	430	766
36	445	758
37	452	738
38	462	722
39	468	702
40	477	687
41	483	668
42	489	649
43	499	635
44	505	617
45	514	603
46	519	585
47	526	570
48	532	554
49	555	555
50	562	540
51	569	525
52	576	511
53	587	500
54	595	486
55	602	473
56	610	460
57	616	446
58	624	433
59	631	420
60	640	409
61	647	397
62	662	389
63	669	376
64	676	364
65	682	351
66	689	339
67	696	327
68	703	316
69	710	304
70	716	292
71	722	280
72	728	269
73	734	258
74	741	247
75	746	235
76	752	224
77	760	214
78	772	205
79	785	196
80	792	185
81	798	175
82	806	165
83	813	154
84	820	144
85	827	134
86	835	124
87	842	114
88	850	105
89	857	95
90	864	85
91	871	75
92	878	66
93	886	56
94	892	46
95	900	37
96	906	28
97	913	18
98	919	9
99	925	0
